PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
Epoch: 001/050 | Batch 0000/0190 | Cost: 36.1756
Epoch: 001/050 | Batch 0025/0190 | Cost: 25.7495
Epoch: 001/050 | Batch 0050/0190 | Cost: 16.7139
Epoch: 001/050 | Batch 0075/0190 | Cost: 9.7351
Epoch: 001/050 | Batch 0100/0190 | Cost: 10.1338
Epoch: 001/050 | Batch 0125/0190 | Cost: 8.7488
Epoch: 001/050 | Batch 0150/0190 | Cost: 8.2387
Epoch: 001/050 | Batch 0175/0190 | Cost: 6.9106
CS/MAE/RMSE: | Current Valid: 0.21/10.50/11.82 Ep. 0 | Best Valid :                0.21/10.50/11.82 Ep. 0
Time elapsed: 11.83 min
Epoch: 002/050 | Batch 0000/0190 | Cost: 8.0233
Epoch: 002/050 | Batch 0025/0190 | Cost: 8.3228
Epoch: 002/050 | Batch 0050/0190 | Cost: 6.7016
Epoch: 002/050 | Batch 0075/0190 | Cost: 5.7807
Epoch: 002/050 | Batch 0100/0190 | Cost: 8.7997
Epoch: 002/050 | Batch 0125/0190 | Cost: 8.1735
Epoch: 002/050 | Batch 0150/0190 | Cost: 6.7243
Epoch: 002/050 | Batch 0175/0190 | Cost: 6.9680
CS/MAE/RMSE: | Current Valid: 0.18/10.72/12.02 Ep. 1 | Best Valid :                0.21/10.50/11.82 Ep. 0
Time elapsed: 23.88 min
Epoch: 003/050 | Batch 0000/0190 | Cost: 7.0378
Epoch: 003/050 | Batch 0025/0190 | Cost: 7.3788
Epoch: 003/050 | Batch 0050/0190 | Cost: 6.3949
Epoch: 003/050 | Batch 0075/0190 | Cost: 5.5940
Epoch: 003/050 | Batch 0100/0190 | Cost: 8.1482
Epoch: 003/050 | Batch 0125/0190 | Cost: 8.1534
Epoch: 003/050 | Batch 0150/0190 | Cost: 6.4867
Epoch: 003/050 | Batch 0175/0190 | Cost: 6.3199
CS/MAE/RMSE: | Current Valid: 0.24/9.39/10.67 Ep. 2 | Best Valid :                0.24/9.39/10.67 Ep. 2
Time elapsed: 35.60 min
Epoch: 004/050 | Batch 0000/0190 | Cost: 6.4589
Epoch: 004/050 | Batch 0025/0190 | Cost: 6.8352
Epoch: 004/050 | Batch 0050/0190 | Cost: 5.6422
Epoch: 004/050 | Batch 0075/0190 | Cost: 4.4802
Epoch: 004/050 | Batch 0100/0190 | Cost: 7.5791
Epoch: 004/050 | Batch 0125/0190 | Cost: 7.7054
Epoch: 004/050 | Batch 0150/0190 | Cost: 5.9761
Epoch: 004/050 | Batch 0175/0190 | Cost: 6.4016
CS/MAE/RMSE: | Current Valid: 0.27/8.64/10.04 Ep. 3 | Best Valid :                0.27/8.64/10.04 Ep. 3
Time elapsed: 47.33 min
Epoch: 005/050 | Batch 0000/0190 | Cost: 6.4799
Epoch: 005/050 | Batch 0025/0190 | Cost: 6.5521
Epoch: 005/050 | Batch 0050/0190 | Cost: 5.6491
Epoch: 005/050 | Batch 0075/0190 | Cost: 4.2693
Epoch: 005/050 | Batch 0100/0190 | Cost: 7.6955
Epoch: 005/050 | Batch 0125/0190 | Cost: 7.5672
Epoch: 005/050 | Batch 0150/0190 | Cost: 6.2347
Epoch: 005/050 | Batch 0175/0190 | Cost: 5.5779
CS/MAE/RMSE: | Current Valid: 0.28/8.53/10.00 Ep. 4 | Best Valid :                0.28/8.53/10.00 Ep. 4
Time elapsed: 59.05 min
Epoch: 006/050 | Batch 0000/0190 | Cost: 6.1141
Epoch: 006/050 | Batch 0025/0190 | Cost: 6.5561
Epoch: 006/050 | Batch 0050/0190 | Cost: 5.4709
Epoch: 006/050 | Batch 0075/0190 | Cost: 3.9621
Epoch: 006/050 | Batch 0100/0190 | Cost: 8.0366
Epoch: 006/050 | Batch 0125/0190 | Cost: 7.8006
Epoch: 006/050 | Batch 0150/0190 | Cost: 5.7451
Epoch: 006/050 | Batch 0175/0190 | Cost: 6.1318
CS/MAE/RMSE: | Current Valid: 0.33/7.86/9.38 Ep. 5 | Best Valid :                0.33/7.86/9.38 Ep. 5
Time elapsed: 70.66 min
Epoch: 007/050 | Batch 0000/0190 | Cost: 6.3557
Epoch: 007/050 | Batch 0025/0190 | Cost: 6.1190
Epoch: 007/050 | Batch 0050/0190 | Cost: 5.4886
Epoch: 007/050 | Batch 0075/0190 | Cost: 4.5170
Epoch: 007/050 | Batch 0100/0190 | Cost: 7.1753
Epoch: 007/050 | Batch 0125/0190 | Cost: 7.1582
Epoch: 007/050 | Batch 0150/0190 | Cost: 5.7824
Epoch: 007/050 | Batch 0175/0190 | Cost: 5.4126
CS/MAE/RMSE: | Current Valid: 0.27/8.64/9.95 Ep. 6 | Best Valid :                0.33/7.86/9.38 Ep. 5
Time elapsed: 82.15 min
Epoch: 008/050 | Batch 0000/0190 | Cost: 5.5943
Epoch: 008/050 | Batch 0025/0190 | Cost: 6.1335
Epoch: 008/050 | Batch 0050/0190 | Cost: 4.8510
Epoch: 008/050 | Batch 0075/0190 | Cost: 4.1406
Epoch: 008/050 | Batch 0100/0190 | Cost: 7.1568
Epoch: 008/050 | Batch 0125/0190 | Cost: 7.1685
Epoch: 008/050 | Batch 0150/0190 | Cost: 5.3669
Epoch: 008/050 | Batch 0175/0190 | Cost: 5.2972
CS/MAE/RMSE: | Current Valid: 0.37/7.84/9.76 Ep. 7 | Best Valid :                0.37/7.84/9.76 Ep. 7
Time elapsed: 93.81 min
Epoch: 009/050 | Batch 0000/0190 | Cost: 5.7094
Epoch: 009/050 | Batch 0025/0190 | Cost: 5.9774
Epoch: 009/050 | Batch 0050/0190 | Cost: 5.1316
Epoch: 009/050 | Batch 0075/0190 | Cost: 4.3476
Epoch: 009/050 | Batch 0100/0190 | Cost: 7.2809
Epoch: 009/050 | Batch 0125/0190 | Cost: 6.9695
Epoch: 009/050 | Batch 0150/0190 | Cost: 5.4078
Epoch: 009/050 | Batch 0175/0190 | Cost: 5.4855
CS/MAE/RMSE: | Current Valid: 0.36/7.74/9.37 Ep. 8 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 105.38 min
Epoch: 010/050 | Batch 0000/0190 | Cost: 5.7356
Epoch: 010/050 | Batch 0025/0190 | Cost: 5.5008
Epoch: 010/050 | Batch 0050/0190 | Cost: 5.1650
Epoch: 010/050 | Batch 0075/0190 | Cost: 4.4334
Epoch: 010/050 | Batch 0100/0190 | Cost: 6.9279
Epoch: 010/050 | Batch 0125/0190 | Cost: 6.7714
Epoch: 010/050 | Batch 0150/0190 | Cost: 5.5897
Epoch: 010/050 | Batch 0175/0190 | Cost: 4.9444
CS/MAE/RMSE: | Current Valid: 0.26/9.07/10.56 Ep. 9 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 117.04 min
Epoch: 011/050 | Batch 0000/0190 | Cost: 5.8551
Epoch: 011/050 | Batch 0025/0190 | Cost: 5.7491
Epoch: 011/050 | Batch 0050/0190 | Cost: 5.2666
Epoch: 011/050 | Batch 0075/0190 | Cost: 4.7312
